sku_2,brand
8MO,8Mobility
ACM,Acme
ADA,Adata
ADN,Adonit
ADO,Adobe
AII,Aiino
AKG,AKG
AKI,Akitio
ALL,Allocacoc
AP2,Apple
APP,Apple
AST,Astuce
BAN,Band & Strap
BAS,Apple
BEA,Beats
BEL,Belkin
BEZ,Be.ez
BLE,BlueSmart
BLL,BlueLounge
BLM,Blue
BNQ,Benq
BOD,BodyGuardz
BOO,Booq
BOS,Bose
BRA,Braven
BTC,Boostcase
CAB,Caliber
CAI,Casetify
CAL,Caldigit
CAR,Cardboard
CAV,Cavus
CEL,Celly
COG,Cogito
COR,Corning
CRU,Crucial
CYB,CyberPower
CYG,Cygnett
DEN,Denon
DEV,Devolo
DIN,Disney
DIR,Dirty Velvet
DJI,DJI
DLK,D-Link
DLL,Dell
DOD,Dodocool
DRB,Dr Bott
DRO,Drobo
DVI,Devia
EDM,Edimax
EIZ,Eizo
ELA,Elago
ELE,Elevation Lab
ELG,Elgato
EVU,Evutec
EXT,Extreme
FCM,FCM
FIB,Fibaro
FIF,FiftyThree
FIT,Fitbit
GAB,Gablys
GAM,Gamevice
GEE,Geeksme
GLY,Glyph
GOP,GoPro
GRT,Griffin
GTE,G-Technology
HAR,Harman Kardon
HER,Hercules
HGD,Henge Docks
HGS,HGST
HIC,Hitcase
HOC,Hoco
HOM,Homido
HOW,Honeywell
HSQ,H-Squared
HTE,Hyper
HYN,FCM
IAM,I AM
ICA,Incase
IFR,iFrogz
IFX,iFixit
IHE,iHealth
IKE,iKettle
IKM,IK Multimedia
INC,Incipio
IOT,iOttie
IST,iStabilizer
JAB,Jabra
JAW,Jawbone
JBL,JBL
JMO,Just Mobile
JOB,Joby
JYB,Jaybird
KAI,Kaiser
KAN,Kanex
KEN,Kensington
KEU,Kenu
KIN,Kingston
KNO,Knomo
KOO,Koogeek
KOU,Koubachi
KUA,Kukaclip
LAC,LaCie
LAN,LandingZone
LEA,Leap
LEE,Leef
LEP,Lepow
LEX,Lexar
LGE,LG
LIF,LifeProof
LIN,Linksys
LIT,LittleBits
LMP,LMP
LOG,Logitech
LUM,Lumee
LUN,Lunatik
MAC,Macally
MAK,Maclocks
MAT,Matias
MBI,Mobility Lab
MDT,Mediterrans
MED,Medisana
MIC,Microsoft
MIN,Minibatt
MIP,Mipow
MMW,My MW
MOB,Mobee
MOL,Moleskine
MOO,Moov
MOP,Mophie
MOS,Moshi
MOX,Moxie
MRL,Marley
MTF,Mistify
MUJ,Mujjo
MUV,Muvit
MYF,MyFox
MYK,MyKronoz
NAT,Native Union
NDA,Nonda
NDE,Ndevr
NEA,Netatmo
NES,Nest
NET,Netgear
NIE,Ninebot
NIM,Nimbus
NKI,Nokia
NOD,Nodon
NOK,Noke
NOM,Nomad
NON,Yoko
NTE,NewerTech
NUD,Nude
OBL,Oblumi
OLI,Olixar
OLL,Olloclip
OND,OND
OPU,Opulus
OSM,Osmo
OTR,Startech
OTT,OtterBox
OWC,OWC
PAC,Pack
PAE,Palette
par,Parrot
PAR,Parrot
PEB,Pebble
PHI,Philips
PIE,Internal parts
PIS,Pisen
PLA,Plantronics
POL,Polaroid
PQI,PQI
PRO,Promise
PRY,Prynt
PUR,Puro
QAR,Qardio
QDO,QDOS
QNA,QNAP
RAI,Rain Design
REP,Repair services
RET,Retrak
RIN,Ring
ROL,Rollei
RUN,Runware
RUT,Runtastic
RYV,Ryval
SAM,Samsung
SAN,SanDisk
SAT,Satechi
SDE,SDesign
SEA,Seagate
SEN,Sennheiser
SEV,Budget Request repair
SHE,SwitchEasy
SMA,Smanos
SMR,SmartHalo
SNA,Sena
SNN,Sonnet
SNS,Sonos
SOF,Software
SPE,Speck
SPH,Sphero
SQP,SQP
SSE,Sen.se
STA,Startech
STC,Stacked
STI,Stil
STK,Stikgo
STM,STM
SXA,SecurityXtra
SYN,Synology
TAD,Tado
TAM,Tangram
TCH,Tech21
THU,Thule
TIG,Tigra
TIL,Tile
TN1,Ten One
TOS,Toshiba
TPL,TP-Link
TRA,Transcend
TRC,Tractive
TRI,Tribe
TRK,Trackr
TRN,Trunk
TUC,Tucano
TWI,Twinkly
TWS,Twelve South
TYL,TYLT
UAG,Urban Armor Gear
UBI,Ubiquiti
UBT,Ubtech
WAC,Wacom
WAH,Wahoo
WDT,Western Digital
WHO,Whoosh
WIK,Wikango
WIL,Wild
WIT,Withings
WOE,Wowewa
XDO,X-Doria
XIA,Xiaomi
XOO,Xoopar
XRI,X-Rite
XTO,Xtorm
ZAG,Zagg
ZEP,Zepp